tenure,MonthlyCharges,SupportTickets,Contract,InternetService,PaperlessBilling,Churn
66,30.46,1,Month-to-month,DSL,Yes,0
54,83.64,2,Month-to-month,Fiber,Yes,0
35,90.65,2,Month-to-month,Fiber,No,0
61,23.16,0,Month-to-month,Fiber,Yes,1
41,113.62,0,Month-to-month,Fiber,Yes,1
33,25.2,0,Month-to-month,DSL,Yes,1
68,74.13,1,Month-to-month,Fiber,No,0
33,90.91,0,Month-to-month,DSL,Yes,0
14,107.1,2,Month-to-month,DSL,Yes,0
21,91.41,2,One year,Fiber,Yes,1
48,100.17,0,Two year,Fiber,No,0
20,53.95,2,Two year,DSL,No,0
8,101.48,1,Two year,Fiber,No,1
7,28.01,0,One year,Fiber,Yes,0
67,109.48,1,One year,DSL,Yes,0
17,74.76,0,Month-to-month,DSL,Yes,0
33,101.73,4,One year,None,No,0
48,65.23,1,Month-to-month,Fiber,Yes,0
59,84.36,5,Month-to-month,Fiber,Yes,1
22,72.64,1,One year,Fiber,No,0
30,93.16,0,Month-to-month,DSL,Yes,1
38,28.16,2,Month-to-month,Fiber,Yes,1
51,26.04,6,Two year,Fiber,Yes,0
54,44.71,0,Month-to-month,Fiber,Yes,1
8,35.95,2,Month-to-month,DSL,No,1
27,107.18,2,Two year,DSL,Yes,0
27,41.92,2,One year,DSL,Yes,0
21,117.59,0,Month-to-month,None,Yes,1
30,53.69,0,Month-to-month,Fiber,Yes,1
28,38.21,2,Month-to-month,Fiber,Yes,1
64,98.97,1,Two year,DSL,Yes,0
69,85.87,1,Month-to-month,DSL,Yes,1
61,69.82,1,Month-to-month,Fiber,Yes,0
48,75.54,1,Month-to-month,Fiber,Yes,1
19,91.92,2,Month-to-month,Fiber,Yes,1
4,42.85,0,Two year,DSL,No,0
35,119.63,3,Month-to-month,Fiber,No,0
64,117.48,1,One year,DSL,No,0
49,85.03,1,Month-to-month,DSL,Yes,1
17,39.95,3,One year,Fiber,Yes,1
44,88.02,1,Two year,DSL,Yes,0
30,27.22,1,Month-to-month,DSL,Yes,0
46,23.07,1,Month-to-month,Fiber,Yes,1
6,45.77,0,Month-to-month,Fiber,Yes,1
37,66.26,1,One year,Fiber,No,1
24,106.83,1,Month-to-month,Fiber,Yes,1
46,92.72,0,Two year,DSL,Yes,0
53,94.27,0,One year,DSL,No,1
60,62.55,0,Two year,None,Yes,1
63,54.59,1,One year,Fiber,No,1
32,57.1,2,Month-to-month,Fiber,No,1
33,118.76,1,Month-to-month,DSL,No,0
67,24.01,1,Month-to-month,Fiber,Yes,1
18,106.7,2,Two year,DSL,Yes,0
25,77.87,2,One year,Fiber,Yes,1
54,63.86,1,One year,None,Yes,0
58,92.53,0,Month-to-month,None,Yes,0
67,68.67,1,Month-to-month,Fiber,Yes,1
46,107.34,1,One year,Fiber,Yes,0
24,110.07,0,Month-to-month,None,Yes,1
32,62.17,0,Month-to-month,Fiber,No,0
47,47.68,0,One year,DSL,No,1
23,79.24,2,Month-to-month,Fiber,Yes,0
66,111.24,2,Month-to-month,DSL,Yes,0
27,41.07,3,Month-to-month,Fiber,No,0
2,82.3,2,Month-to-month,Fiber,Yes,1
17,83.16,1,Two year,Fiber,No,0
33,93.31,0,Month-to-month,DSL,No,0
9,33.16,1,Month-to-month,DSL,Yes,1
43,91.58,1,Month-to-month,Fiber,No,1
48,110.9,0,One year,Fiber,Yes,1
39,37.97,1,Month-to-month,Fiber,Yes,1
42,43.75,1,Month-to-month,DSL,Yes,1
26,117.14,0,Month-to-month,None,Yes,0
50,38.1,0,Month-to-month,None,No,0
25,105.44,2,Month-to-month,DSL,Yes,0
24,69.23,3,One year,DSL,Yes,1
13,44.72,1,Two year,Fiber,Yes,0
60,107.07,2,Month-to-month,Fiber,No,1
7,64.53,2,Month-to-month,None,No,0
57,71.48,2,Two year,Fiber,No,0
36,55.92,2,Month-to-month,Fiber,Yes,1
45,79.3,2,One year,Fiber,Yes,0
20,36.35,3,Month-to-month,DSL,Yes,1
65,59.11,0,Two year,DSL,Yes,0
8,116.94,1,One year,Fiber,Yes,0
16,45.81,2,Two year,Fiber,Yes,0
14,85.67,1,One year,Fiber,Yes,0
15,52.52,2,Month-to-month,Fiber,No,0
66,97.35,2,Two year,DSL,Yes,1
32,33.09,4,Month-to-month,Fiber,Yes,0
63,116.98,1,Month-to-month,DSL,Yes,0
51,65.38,1,One year,Fiber,No,1
25,43.61,4,One year,Fiber,No,1
58,27.35,2,Two year,Fiber,No,0
63,36.98,0,Month-to-month,None,Yes,0
62,71.98,2,One year,DSL,No,0
22,53.7,0,One year,Fiber,Yes,1
58,102.89,1,Month-to-month,DSL,Yes,0
58,63.09,2,Month-to-month,Fiber,No,1
49,44.87,0,Month-to-month,Fiber,Yes,0
52,81.71,4,Month-to-month,Fiber,Yes,0
42,90.68,3,Two year,Fiber,Yes,1
70,36.7,2,One year,DSL,Yes,0
15,36.76,0,One year,Fiber,No,0
54,23.67,1,Two year,DSL,Yes,0
60,93.64,1,Month-to-month,Fiber,Yes,0
8,86.38,3,One year,DSL,Yes,1
53,67.46,2,Month-to-month,DSL,Yes,0
60,104.42,1,Two year,Fiber,Yes,1
5,100.57,1,Month-to-month,None,Yes,1
68,78.54,1,Two year,DSL,Yes,0
6,106.83,1,Month-to-month,DSL,Yes,1
47,40.58,1,Month-to-month,Fiber,No,0
55,31.19,1,One year,DSL,Yes,0
40,46.97,0,Month-to-month,DSL,Yes,0
52,25.71,1,One year,Fiber,Yes,0
16,73.12,1,Month-to-month,DSL,Yes,0
13,113.66,1,One year,None,No,0
30,23.93,2,Month-to-month,Fiber,No,0
19,32.21,2,Month-to-month,Fiber,Yes,1
17,65.22,2,Month-to-month,None,No,1
63,113.39,0,Month-to-month,Fiber,Yes,0
19,51.62,0,Month-to-month,DSL,Yes,1
58,70.72,2,Month-to-month,DSL,Yes,1
55,24.16,1,Month-to-month,Fiber,Yes,0
62,34.83,1,Month-to-month,DSL,Yes,1
23,118.66,1,Month-to-month,None,No,0
9,116.51,1,Two year,Fiber,Yes,1
12,20.49,1,Month-to-month,DSL,No,0
1,115.18,0,Month-to-month,Fiber,No,1
58,83.91,0,One year,Fiber,Yes,0
1,106.79,1,Month-to-month,None,Yes,1
34,65.47,0,One year,Fiber,Yes,0
48,71.56,3,Month-to-month,Fiber,No,1
1,68.88,0,Month-to-month,Fiber,Yes,0
16,86.69,1,Month-to-month,Fiber,Yes,1
61,33.97,0,One year,Fiber,Yes,0
64,23.0,2,One year,DSL,Yes,0
63,50.79,0,Month-to-month,DSL,Yes,0
69,90.47,0,Month-to-month,Fiber,Yes,1
22,40.19,1,Two year,DSL,Yes,0
67,87.34,2,Month-to-month,DSL,Yes,0
26,116.99,1,Month-to-month,Fiber,Yes,1
16,29.39,3,Two year,DSL,Yes,0
51,87.26,0,One year,Fiber,Yes,1
57,64.38,3,Month-to-month,Fiber,Yes,0
29,106.81,2,One year,None,Yes,0
69,37.71,1,Two year,Fiber,Yes,0
47,89.26,1,Month-to-month,DSL,Yes,1
62,103.81,2,Month-to-month,Fiber,Yes,1
69,114.46,1,Month-to-month,Fiber,Yes,0
16,88.32,2,Two year,None,Yes,0
48,69.72,0,One year,Fiber,Yes,1
39,81.78,1,Month-to-month,DSL,No,0
33,106.89,2,Two year,None,No,0
23,77.06,0,Month-to-month,DSL,No,1
10,23.04,2,Month-to-month,Fiber,No,1
69,113.09,2,Month-to-month,Fiber,Yes,1
34,88.95,0,Month-to-month,DSL,Yes,0
52,87.65,1,Two year,DSL,Yes,0
10,41.57,0,Month-to-month,DSL,Yes,1
19,85.89,2,One year,Fiber,Yes,0
58,59.39,0,Month-to-month,None,No,0
1,85.12,0,Month-to-month,DSL,Yes,1
69,30.66,0,Two year,Fiber,Yes,1
4,85.78,0,Month-to-month,DSL,Yes,1
16,119.94,0,Month-to-month,Fiber,Yes,1
24,24.82,2,Month-to-month,DSL,Yes,0
2,117.72,1,Two year,None,No,0
32,60.69,5,Month-to-month,Fiber,Yes,1
24,107.08,0,Month-to-month,Fiber,No,0
12,98.24,3,Month-to-month,Fiber,Yes,1
50,76.7,0,Month-to-month,Fiber,No,0
35,93.84,2,One year,None,Yes,1
33,107.85,1,Month-to-month,Fiber,Yes,0
33,60.41,2,Month-to-month,None,Yes,1
61,52.7,2,Month-to-month,Fiber,No,1
51,86.76,0,Month-to-month,DSL,No,1
43,100.78,2,Two year,Fiber,Yes,0
12,96.23,2,Month-to-month,DSL,Yes,1
67,99.78,1,Two year,Fiber,No,0
65,63.56,1,Month-to-month,Fiber,Yes,0
33,101.78,0,Month-to-month,Fiber,Yes,1
40,32.02,1,Two year,DSL,Yes,0
43,74.45,2,Month-to-month,DSL,Yes,0
44,20.58,2,One year,Fiber,No,0
29,52.46,0,Two year,None,No,0
13,56.65,0,Month-to-month,DSL,Yes,0
12,59.62,0,Month-to-month,Fiber,Yes,1
46,89.55,0,One year,Fiber,No,1
2,58.86,0,Month-to-month,Fiber,Yes,1
35,64.87,4,Month-to-month,DSL,No,0
8,43.75,0,Month-to-month,Fiber,Yes,0
26,57.33,1,Month-to-month,DSL,Yes,0
34,42.73,1,One year,None,No,1
7,27.32,1,Month-to-month,DSL,Yes,1
68,80.34,2,Month-to-month,DSL,Yes,1
58,86.82,2,One year,DSL,Yes,0
29,81.95,1,Month-to-month,DSL,Yes,1
36,66.35,2,Month-to-month,Fiber,Yes,0
21,57.98,1,One year,DSL,No,0
36,106.33,1,Month-to-month,DSL,No,0
10,71.91,5,One year,Fiber,Yes,0
24,67.92,1,Two year,DSL,Yes,0
64,22.56,1,Month-to-month,DSL,Yes,0
49,54.12,1,Month-to-month,Fiber,Yes,0
36,58.02,0,Month-to-month,Fiber,Yes,0
24,59.88,0,Month-to-month,None,No,0
23,78.02,0,Two year,Fiber,Yes,0
62,73.36,2,Two year,Fiber,No,0
37,80.79,0,Month-to-month,DSL,Yes,0
12,96.49,0,One year,Fiber,Yes,0
55,101.3,0,Two year,Fiber,Yes,0
13,91.81,0,Two year,Fiber,Yes,1
23,115.55,1,Month-to-month,Fiber,Yes,1
30,21.82,1,Month-to-month,DSL,No,0
17,39.58,0,Month-to-month,Fiber,Yes,0
62,20.76,2,Two year,Fiber,No,0
13,84.75,0,Month-to-month,None,Yes,1
59,109.8,1,Month-to-month,DSL,No,0
19,44.35,0,Month-to-month,DSL,Yes,0
49,112.7,3,Month-to-month,DSL,No,1
12,26.03,1,Month-to-month,Fiber,Yes,0
61,113.44,2,Two year,DSL,No,0
19,55.16,1,Month-to-month,DSL,No,1
9,30.14,2,Month-to-month,None,Yes,1
71,68.59,0,Month-to-month,DSL,Yes,0
28,45.68,1,Month-to-month,Fiber,Yes,1
52,48.49,1,Month-to-month,DSL,No,1
16,50.73,1,Month-to-month,Fiber,Yes,0
69,100.3,2,Month-to-month,Fiber,Yes,1
12,73.92,1,Month-to-month,None,Yes,1
25,51.13,0,Month-to-month,None,Yes,1
52,81.03,1,Month-to-month,DSL,No,0
53,91.62,1,Two year,DSL,Yes,0
23,47.26,2,Two year,DSL,Yes,0
16,61.35,0,Month-to-month,Fiber,No,1
57,32.19,3,Month-to-month,Fiber,Yes,0
39,38.11,2,Two year,Fiber,Yes,0
53,88.11,2,Month-to-month,Fiber,Yes,1
42,38.14,3,One year,DSL,Yes,0
58,72.52,2,Two year,Fiber,Yes,0
39,90.9,0,Month-to-month,None,No,0
14,30.69,0,Month-to-month,DSL,Yes,0
5,76.73,2,Two year,Fiber,Yes,1
35,45.66,1,Month-to-month,DSL,Yes,0
18,116.29,1,Month-to-month,Fiber,Yes,0
9,68.35,2,Month-to-month,Fiber,No,0
58,100.6,2,Month-to-month,DSL,Yes,1
17,75.02,0,One year,Fiber,Yes,0
7,24.34,1,One year,DSL,Yes,1
46,83.32,0,Two year,Fiber,Yes,0
13,115.14,1,Month-to-month,Fiber,Yes,1
40,80.16,3,Month-to-month,DSL,Yes,1
42,101.92,0,Month-to-month,Fiber,Yes,1
9,108.42,2,Month-to-month,Fiber,No,1
50,42.81,3,Month-to-month,DSL,Yes,0
27,41.2,3,Two year,DSL,No,0
66,81.1,2,Two year,Fiber,No,0
5,61.1,3,Month-to-month,None,Yes,0
29,103.99,0,One year,DSL,Yes,0
37,110.0,4,Month-to-month,DSL,Yes,1
38,55.34,3,Month-to-month,DSL,Yes,1
8,43.69,0,One year,Fiber,No,1
65,98.05,2,Month-to-month,DSL,Yes,0
17,47.48,0,Two year,DSL,Yes,0
71,102.26,1,One year,Fiber,Yes,0
45,62.37,0,Month-to-month,Fiber,Yes,0
4,86.75,2,One year,DSL,Yes,0
36,29.55,0,Month-to-month,Fiber,No,1
70,82.39,0,Month-to-month,Fiber,Yes,1
31,65.18,1,Month-to-month,DSL,No,0
19,78.66,3,Month-to-month,DSL,Yes,1
61,36.8,1,One year,Fiber,Yes,1
54,93.69,2,Month-to-month,DSL,Yes,1
39,106.28,0,One year,Fiber,Yes,0
19,41.67,0,Month-to-month,None,Yes,1
39,29.57,1,Month-to-month,DSL,No,0
67,22.36,1,One year,DSL,No,0
45,84.2,4,Month-to-month,Fiber,Yes,1
13,80.71,0,Month-to-month,Fiber,Yes,0
58,74.67,1,Month-to-month,None,Yes,0
20,43.19,1,Month-to-month,Fiber,No,0
61,59.09,0,Month-to-month,DSL,Yes,0
39,79.45,0,One year,Fiber,No,1
1,69.68,1,Month-to-month,Fiber,Yes,0
3,118.78,1,Month-to-month,Fiber,Yes,1
62,33.64,1,Two year,DSL,No,0
63,89.51,2,Month-to-month,DSL,Yes,0
25,60.43,4,Two year,Fiber,Yes,0
56,62.82,1,Month-to-month,Fiber,Yes,1
33,91.76,0,Month-to-month,DSL,Yes,1
38,89.24,2,Two year,DSL,Yes,0
6,119.13,3,Month-to-month,Fiber,Yes,1
58,32.84,0,One year,Fiber,No,0
44,30.41,1,Month-to-month,DSL,Yes,0
45,92.43,0,Month-to-month,DSL,No,1
32,77.84,1,Month-to-month,DSL,Yes,0
45,47.42,1,Month-to-month,None,Yes,1
61,27.94,1,Two year,Fiber,Yes,0
47,28.57,0,Month-to-month,Fiber,Yes,0
21,109.42,3,Two year,Fiber,Yes,0
36,39.19,2,Two year,DSL,No,0
19,52.34,3,Month-to-month,Fiber,Yes,1
20,42.67,3,Month-to-month,Fiber,Yes,0
57,55.5,1,Two year,DSL,Yes,0
18,26.94,3,Two year,DSL,No,0
47,71.91,1,Month-to-month,Fiber,No,0
49,26.76,5,Month-to-month,None,Yes,1
14,100.04,0,Month-to-month,DSL,Yes,0
15,43.37,2,One year,Fiber,Yes,0
31,74.0,2,Month-to-month,Fiber,Yes,1
1,108.01,2,One year,DSL,Yes,1
54,85.09,1,Month-to-month,DSL,Yes,1
3,73.3,0,Month-to-month,DSL,Yes,1
16,52.43,2,Month-to-month,Fiber,Yes,1
57,53.3,2,Month-to-month,DSL,Yes,1
12,86.95,1,Month-to-month,DSL,No,0
16,119.41,0,Month-to-month,Fiber,No,1
24,86.18,3,Month-to-month,Fiber,Yes,1
28,75.78,3,Month-to-month,DSL,Yes,1
8,93.07,1,Month-to-month,Fiber,Yes,0
36,66.52,1,Two year,Fiber,Yes,0
8,26.01,3,Month-to-month,Fiber,No,1
58,76.23,0,Month-to-month,Fiber,Yes,0
60,115.76,0,Month-to-month,DSL,No,1
50,37.53,1,Two year,Fiber,No,0
28,89.0,4,Month-to-month,Fiber,Yes,1
41,40.09,2,One year,Fiber,Yes,0
64,73.58,1,One year,Fiber,Yes,0
27,29.67,2,One year,Fiber,Yes,0
63,65.04,3,Month-to-month,DSL,Yes,0
17,95.62,1,One year,Fiber,Yes,0
33,54.76,1,Month-to-month,Fiber,No,0
29,86.49,4,Month-to-month,Fiber,Yes,1
13,99.54,1,One year,DSL,Yes,0
46,112.72,0,Month-to-month,None,Yes,1
35,43.46,0,One year,Fiber,Yes,0
6,59.93,1,Month-to-month,DSL,Yes,0
69,35.24,0,One year,Fiber,No,0
47,119.25,0,Month-to-month,Fiber,Yes,1
25,112.7,0,Month-to-month,Fiber,Yes,1
66,74.0,4,Month-to-month,Fiber,Yes,0
10,104.2,1,Two year,Fiber,Yes,1
56,72.1,0,Month-to-month,DSL,No,0
30,82.36,0,Month-to-month,Fiber,Yes,1
5,28.91,0,Month-to-month,Fiber,No,1
33,95.53,0,One year,Fiber,Yes,0
65,32.77,1,Month-to-month,Fiber,Yes,0
18,102.61,0,Month-to-month,Fiber,Yes,1
49,98.2,0,Month-to-month,DSL,Yes,0
11,90.87,1,Month-to-month,Fiber,Yes,1
26,23.62,1,Month-to-month,DSL,No,1
63,50.31,0,Month-to-month,DSL,Yes,1
59,46.31,0,One year,DSL,Yes,0
27,56.01,1,Month-to-month,Fiber,Yes,0
49,28.76,2,Month-to-month,DSL,Yes,0
33,113.7,1,Month-to-month,DSL,Yes,1
1,75.38,0,Two year,DSL,Yes,1
21,50.55,1,Two year,DSL,Yes,0
55,59.7,1,One year,Fiber,Yes,0
6,64.72,1,Month-to-month,Fiber,Yes,0
69,80.06,1,Month-to-month,DSL,Yes,0
5,71.57,1,Month-to-month,Fiber,Yes,1
3,111.94,2,Month-to-month,Fiber,Yes,1
53,69.7,2,Month-to-month,Fiber,No,0
23,119.22,4,One year,DSL,Yes,1
53,105.14,0,Two year,Fiber,Yes,0
